state_year,dem_poll_advantage,bachelors_or_higher,covi_rank,median_income,asian,black,hispanic,white,winner
Nevada_2000,-3.5,18.2,24,61570,0.049,0.068,0.1969999999999999,0.652,R
Nevada_2004,-2.6,20.8,17,59680,0.05808,0.07272,0.2297199999999999,0.6041200000000001,R
Nevada_2008,12.5,21.9,23,56560,0.06732,0.07808,0.25508,0.56088,D
Nevada_2012,2.8,22.4,24,51600,0.07672,0.08408,0.27308,0.5222800000000001,D
Nevada_2016,-0.8,23.5,31,64510,0.08628,0.09072,0.2837199999999999,0.48832,D
Nevada_2020,2.4,28.0,15,68120,0.096,0.098,0.287,0.4589999999999999,D
New Hampshire_2000,-1.3,28.7,14,81830,0.013,0.0069999999999999,0.017,0.951,R
New Hampshire_2004,1.3,31.9,9,84270,0.0172,0.0086,0.02092,0.94256,D
New Hampshire_2008,9.6,33.3,10,87190,0.0206,0.0102,0.02548,0.93044,D
New Hampshire_2012,2.0,34.6,25,84210,0.0232,0.0118,0.03068,0.91464,D
New Hampshire_2016,0.6,36.6,50,91500,0.025,0.0134,0.03652,0.89516,D
New Hampshire_2020,8.1,40.2,50,100200,0.026,0.015,0.043,0.872,D
New Jersey_2000,15.8,29.8,23,80990,0.057,0.136,0.133,0.66,D
New Jersey_2004,6.7,33.4,14,81990,0.06824,0.13724,0.1512,0.63404,D
New Jersey_2008,15.6,34.4,31,86040,0.07836,0.13736,0.1686,0.6069599999999999,D
New Jersey_2012,11.8,36.2,15,82810,0.08736,0.13636,0.1852,0.5787599999999999,D
New Jersey_2016,11.6,38.6,12,82150,0.0952399999999999,0.13424,0.201,0.5494399999999999,D
New Jersey_2020,19.1,43.1,8,96430,0.102,0.131,0.216,0.519,D
New Mexico_2000,0.1,23.5,21,56390,0.012,0.019,0.421,0.447,D
New Mexico_2004,-0.7,25.3,30,58680,0.01244,0.01992,0.44116,0.42996,R
New Mexico_2008,15.1,24.7,36,55470,0.01336,0.02068,0.4568399999999999,0.41324,D
New Mexico_2012,10.0,26.1,39,53920,0.01476,0.02128,0.46804,0.3968400000000001,D
New Mexico_2016,5.0,27.2,38,58130,0.01664,0.02172,0.47476,0.38076,D
New Mexico_2020,12.6,30.1,30,57380,0.019,0.022,0.477,0.365,D
North Carolina_2000,-12.8,22.5,27,73530,0.0139999999999999,0.216,0.047,0.7020000000000001,R
North Carolina_2004,-12.4,24.8,11,70020,0.01672,0.21668,0.06348,0.6822800000000001,R
North Carolina_2008,0.3,26.1,6,72130,0.02008,0.21592,0.07772,0.6627200000000002,D
North Carolina_2012,-3.0,27.4,6,58770,0.02408,0.21372,0.08972,0.6433200000000001,R
North Carolina_2016,-1.0,30.4,24,66510,0.02872,0.21008,0.09948,0.62408,R
North Carolina_2020,-0.2,34.8,16,68950,0.034,0.205,0.107,0.605,R
Ohio_2000,-3.5,21.1,18,69030,0.012,0.115,0.019,0.84,R
Ohio_2004,-2.1,23.0,26,63860,0.01364,0.11828,0.02368,0.83116,R
Ohio_2008,4.6,24.1,42,61840,0.01576,0.12092,0.02852,0.81864,D
Ohio_2012,2.9,25.2,41,55100,0.01836,0.12292,0.03352,0.80244,D
Ohio_2016,-3.5,27.5,42,64770,0.02144,0.12428,0.03868,0.78256,R
Ohio_2020,-1.0,30.6,43,68060,0.025,0.125,0.044,0.759,R
Oregon_2000,0.5,25.1,1,68290,0.032,0.016,0.08,0.835,D
Oregon_2004,4.2,27.5,2,60810,0.03292,0.0168,0.0965999999999999,0.8171600000000001,D
Oregon_2008,16.4,28.1,9,68150,0.03528,0.0176,0.1108,0.7964400000000001,D
Oregon_2012,6.0,29.9,1,64290,0.03908,0.0184,0.1226,0.7728400000000002,D
Oregon_2016,8.0,32.7,1,70950,0.04432,0.0192,0.132,0.7463600000000001,D
Oregon_2020,12.0,36.3,1,86630,0.051,0.02,0.139,0.7170000000000001,D
Pennsylvania_2000,4.2,22.4,26,67770,0.018,0.1,0.032,0.841,D
Pennsylvania_2004,2.5,25.4,16,65420,0.02124,0.10404,0.04212,0.82428,D
Pennsylvania_2008,10.3,26.3,21,67720,0.02496,0.10696,0.05208,0.8053200000000003,D
Pennsylvania_2012,3.8,27.8,26,64450,0.02916,0.10876,0.06188,0.7841200000000002,D
Pennsylvania_2016,1.9,30.8,34,73170,0.03384,0.10944,0.07152,0.76068,R
Pennsylvania_2020,1.2,34.0,31,79800,0.039,0.109,0.081,0.735,D
Virginia_2000,-8.1,29.5,41,75780,0.038,0.196,0.047,0.7020000000000001,R
Virginia_2004,-8.2,32.7,47,75860,0.0448,0.1959199999999999,0.06052,0.6813600000000001,R
Virginia_2008,6.3,33.7,49,81670,0.0516,0.19488,0.07308,0.6594400000000001,D
Virginia_2012,0.3,35.5,36,80250,0.0584,0.19288,0.08468,0.6362400000000001,D
Virginia_2016,5.0,38.1,47,79730,0.0652,0.1899199999999999,0.09532,0.6117600000000001,D
Virginia_2020,10.9,42.0,18,92670,0.072,0.186,0.105,0.586,D
Wisconsin_2000,0.2,21.9,5,72450,0.017,0.057,0.036,0.873,D
Wisconsin_2004,0.4,25.1,5,67830,0.01928,0.06,0.04592,0.8578399999999999,D
Wisconsin_2008,13.9,25.7,8,67460,0.02172,0.0622,0.05488,0.84156,D
Wisconsin_2012,4.2,27.1,7,65910,0.02432,0.0636,0.06288,0.82416,D
Wisconsin_2016,6.5,29.5,28,71770,0.02708,0.0642,0.06992,0.8056399999999999,R
Wisconsin_2020,6.7,31.8,38,75980,0.03,0.064,0.076,0.7859999999999999,D
